Date,Volume,ATR_14,Bollinger_Upper,High,EMA_20,Close,Open,SMA_20,OBV,Low,rolling_logvol_30
2022-06-09,96491307.0,17.098928571428573,265.05995739135824,255.547,247.6851024701864,239.707,249.34,239.15540000000001,16730377567.5,239.327,0.05127141827031836
2022-06-10,98090898.0,15.832285714285716,264.6604681585458,239.5,246.21318794921626,232.23,235.157,238.63354999999996,16632286669.5,227.913,0.05266744826316047
2022-06-13,102767262.0,16.08814285714286,263.10474331800185,226.633,243.31069385881472,215.737,223.167,236.5939,16529519407.5,214.683,0.05233374728194256
2022-06-14,97988796.0,15.836928571428574,262.8659472323146,226.33,241.17538968178474,220.89,218.287,235.56555000000003,16627508203.5,211.737,0.05353423273513822
2022-06-15,119131935.0,15.985214285714289,260.4368165076773,235.663,240.39678114066237,233.0,220.917,234.52204999999998,16746640138.5,218.15,0.0544290609722803
2022-06-16,107390700.0,16.17357142857143,260.94146909878157,225.167,237.79708769869453,213.1,222.737,233.34689999999995,16639249438.5,208.693,0.052864667219599634
2022-06-17,92641770.0,15.495857142857146,260.8784979285978,220.969,235.79355553691408,216.76,213.433,232.36124999999998,16731891208.5,213.197,0.05588606105670171
2022-06-21,122792955.0,16.35014285714286,261.24562758480744,243.577,235.91197881911273,237.037,224.603,233.14810000000003,16854684163.5,224.333,0.053324537590196314
2022-06-22,101527260.0,16.3015,261.55903071272286,246.833,235.92864750300674,236.087,234.503,233.70409999999998,16753156903.5,233.827,0.0531930887830574
2022-06-23,104202678.0,15.48271428571429,260.3823025144241,239.317,235.84687155033942,235.07,237.905,234.98825000000002,16648954225.5,228.637,0.051569240789543114
2022-06-24,95770695.0,14.488571428571431,261.0326151308044,246.067,236.78593140268805,245.707,237.468,236.29359999999997,16744724920.5,236.087,0.051549402343625594
2022-06-27,89178312.0,14.416214285714288,261.78006677540156,252.07,237.56060460243202,244.92,249.367,236.74409999999997,16655546608.5,242.566,0.05129270114385578
2022-06-28,90666501.0,14.967857142857143,259.5659199414215,249.97,237.09416606886708,232.663,244.483,235.71675,16564880107.5,232.343,0.05023199890193876
2022-06-29,82897254.0,14.918857142857146,257.14160368174726,231.173,236.2747216813559,228.49,230.5,234.5036,16481982853.5,222.273,0.04933089034646117
2022-06-30,94600452.0,14.517000000000001,255.67312938342593,229.457,235.15074818789344,224.473,224.51,233.38775,16387382401.5,218.863,0.0477833898114467
2022-07-01,74460444.0,14.253857142857145,250.89653548593884,230.23,234.39953407476074,227.263,227.0,231.83424999999997,16461842845.5,222.12,0.048029093103895595
2022-07-05,84779112.0,14.213357142857145,250.79207680943105,233.147,234.27262606764066,233.067,223.0,231.76174999999998,16546621957.5,216.167,0.046412169862860786
2022-07-06,71853630.0,13.697857142857142,250.2162414029157,234.563,234.03075691834152,231.733,230.78,231.4344,16474768327.5,227.187,0.04731850745741824
2022-07-07,81930690.0,13.42042857142857,251.13121051980823,245.362,235.0319229261185,244.543,233.92,231.7172,16556699017.5,232.21,0.04531893407468731
2022-07-08,101854086.0,12.671285714285712,252.91650585446988,254.98,236.53012074267866,250.763,242.333,232.16199999999998,16658553103.5,241.161,0.046543213003277364
2022-07-11,99509220.0,13.497499999999997,252.37460641504612,253.063,236.3218235290902,234.343,252.103,231.8938,16559043883.5,233.627,0.04466530587270498
2022-07-12,87930960.0,12.396642857142853,252.42295353684287,239.773,236.01212605012924,233.07,236.847,231.93580000000003,16471112923.5,228.368,0.0427468407816553
2022-07-13,97954497.0,12.68385714285714,252.11086630679472,242.06,236.1100188072598,237.04,225.5,233.00095000000002,16569067420.5,225.033,0.042769108887036784
2022-07-14,78557499.0,12.586714285714281,252.23116200906512,238.653,236.3198265399017,238.313,234.897,233.8721,16647624919.5,229.333,0.04259690508504103
2022-07-15,69683019.0,12.282142857142853,252.784777931062,243.623,236.6767002027682,240.067,240.0,234.22545,16717307938.5,236.89,0.04168462720026193
2022-07-18,82537428.0,12.382857142857137,251.4400590707015,250.517,237.04530018345693,240.547,244.937,235.5978,16799845366.5,239.603,0.037854271469649425
2022-07-19,80890110.0,11.84971428571428,250.75944074992208,247.14,237.85336683265152,245.53,245.0,237.03630000000004,16880735476.5,236.977,0.03777796104886394
2022-07-20,88864089.0,11.620428571428564,252.05850340612795,250.663,238.77209380097042,247.5,246.783,237.55945000000003,16969599565.5,243.483,0.04134991974435881
2022-07-21,142032177.0,12.704214285714277,260.36176726530203,273.267,241.90875153421135,271.707,255.107,239.34045,17111631742.5,254.867,0.041323246067379894
2022-07-22,103472847.0,12.844499999999991,266.72206967460073,280.787,244.79772757857216,272.243,276.22,241.1991,17215104589.5,270.713,0.041388987651618483
2022-07-25,64073505.0,12.11357142857142,270.5816666477697,274.147,247.04870590442243,268.433,272.217,242.33540000000002,17151031084.5,267.4,0.041533987677620884
2022-07-26,66820758.0,12.455999999999994,272.21949545708713,267.31,248.1735910563822,258.86,266.513,243.0324,17084210326.5,256.263,0.04009445304646089
2022-07-27,88109988.0,12.701499999999994,277.12882524920025,275.926,250.71134428910773,274.82,263.81,245.14024999999998,17172320314.5,261.79,0.04007266640404024
2022-07-28,84722991.0,12.464428571428567,282.476789022635,283.3,253.58645435681174,280.9,280.067,247.76075,17257043305.5,272.8,0.04018773758970201
2022-07-29,95312883.0,12.448999999999995,290.7515291292432,298.32,257.7353634656868,297.15,280.7,251.3946,17352356188.5,279.1,0.035788538039707815
2022-08-01,117042888.0,12.839928571428564,297.5329653014439,311.878,261.50123361181187,297.277,301.275,254.8953,17469399076.5,295.0,0.035771009352380145
2022-08-02,95577468.0,12.706999999999995,304.1972567340398,307.833,265.2236875535441,300.587,294.003,258.2713,17564976544.5,292.667,0.03265465922664742
2022-08-03,80091105.0,12.681499999999998,311.13331979235625,309.55,269.2401935008256,307.397,305.0,262.0545,17645067649.5,301.15,0.03257997073614037
2022-08-04,72256317.0,12.815357142857142,317.772652857339,313.607,272.9918893578899,308.633,311.0,265.259,17717323966.5,305.0,0.03546752926089748
2022-08-05,113172897.0,13.68492857142857,320.1314621139233,304.607,274.4374237047575,288.17,302.67,267.12935000000004,17604151069.5,285.545,0.03475692664135923
2022-08-08,99365274.0,14.175428571428569,321.5477391290836,305.2,275.95985954239967,290.423,295.0,269.93334999999996,17703516343.5,289.085,0.03516373456436649
2022-08-09,86244681.0,14.594285714285709,321.3255992315146,292.397,276.66206339550445,283.333,290.293,272.44649999999996,17617271662.5,279.353,0.03400953929927403
2022-08-10,94918872.0,13.766428571428564,322.1282896304747,297.51,278.34729545307545,294.357,297.067,275.31235,17712190534.5,283.37,0.03426760092684821
2022-08-11,70155045.0,13.93285714285714,321.3850886303668,298.237,279.13612445754444,286.63,296.513,277.72819999999996,17642035489.5,285.833,0.03460819548563492
2022-08-12,79657287.0,14.531428571428567,321.64312013684753,300.16,281.12601736634974,300.03,289.415,280.72635,17721692776.5,285.033,0.034814544809984915
